   0,   89, 39
   1,   65, 64
   2,   80, 50
   3,   78, 53
   4,   73, 59
   5,   70, 63
   6,   72, 62
   7,   83, 52
   8,   85, 51
   9,   74, 63
  10,   70, 68
  11,   67, 72
  12,   82, 58
  13,   87, 54
  14,   83, 59
  15,   80, 63
  16,  109, 35
  17,  112, 33
  18,  112, 34
  19,   98, 49
  20,   99, 49
  21,  114, 35
  22,   99, 51
  23,  112, 39
  24,  119, 33
  25,  111, 42
  26,  108, 46
  27,  109, 46
  28,  105, 51
  29,   99, 58
  30,  109, 49
  31,  114, 45
  32,  115, 45
  33,  116, 45
  34,  119, 43
  35,  115, 48
  36,  113, 51
  37,  100, 65
  38,  110, 56
  39,  111, 56
  40,  102, 66
  41,  112, 57
  42,  115, 55
  43,  101, 70
  44,  103, 69
  45,  110, 63
  46,  112, 62
  47,  115, 60
  48,  115, 61
  49,   49,  0
  50,  116, 62
  51,  105, 74
  52,  108, 72
  53,    0,  0
  54,    0,  0
  55,    0,  0
  56,    0,  0
  57,    0,  0
  58,    0,  0
  59,    0,  0
  60,    0,  0
  61,    0,  0
  62,    0,  0
  63,    0,  0
  64,    0,  0
  65,   65,  0
  66,   65,  1
  67,   66,  1
  68,   67,  1
  69,   67,  2
  70,   67,  3
  71,   68,  3
  72,   65,  7
  73,   65,  8
  74,   65,  9
  75,   66,  9
  76,   67,  9
  77,   67, 10
  78,   78,  0
  79,   68, 11
  80,   80,  0
  81,   81,  0
  82,   82,  0
  83,   83,  0
  84,   68, 16
  85,   69, 16
  86,   69, 17
  87,   70, 17
  88,   71, 17
  89,   71, 18
  90,   90,  0
  91,   74, 17
  92,   75, 17
  93,   67, 26
  94,   65, 29
  95,   67, 28
  96,   68, 28
  97,   82, 15
  98,   75, 23
  99,   83, 16
 100,   79, 21
 101,   74, 27
 102,   68, 34
 103,   74, 29
 104,   74, 30
 105,   86, 19
 106,   76, 30
 107,   84, 23
 108,   86, 22
 109,   77, 32
 110,   77, 33
 111,   65, 46
 112,   74, 38
 113,   67, 46
 114,   74, 40
 115,   67, 48
 116,   87, 29
 117,   67, 50
 118,   70, 48
 119,   66, 53
 120,   74, 46
 121,   70, 51
 122,   77, 45
 123,   77, 46
 124,   69, 55
 125,   67, 58
 126,   78, 48
 127,   83, 44
116 :: [[0, 89, 39], [1, 65, 64], [2, 80, 50], [3, 78, 53], [4, 73, 59], [5, 70, 63], [6, 72, 62], [7, 83, 52], [8, 85, 51], [9, 74, 63], [10, 70, 68], [11, 67, 72], [12, 82, 58], [13, 87, 54], [14, 83, 59], [15, 80, 63], [16, 109, 35], [17, 112, 33], [18, 112, 34], [19, 98, 49], [20, 99, 49], [21, 114, 35], [22, 99, 51], [23, 112, 39], [24, 119, 33], [25, 111, 42], [26, 108, 46], [27, 109, 46], [28, 105, 51], [29, 99, 58], [30, 109, 49], [31, 114, 45], [32, 115, 45], [33, 116, 45], [34, 119, 43], [35, 115, 48], [36, 113, 51], [37, 100, 65], [38, 110, 56], [39, 111, 56], [40, 102, 66], [41, 112, 57], [42, 115, 55], [43, 101, 70], [44, 103, 69], [45, 110, 63], [46, 112, 62], [47, 115, 60], [48, 115, 61], [49, 49, 0], [50, 116, 62], [51, 105, 74], [52, 108, 72], [53, 0, 0], [54, 0, 0], [55, 0, 0], [56, 0, 0], [57, 0, 0], [58, 0, 0], [59, 0, 0], [60, 0, 0], [61, 0, 0], [62, 0, 0], [63, 0, 0], [64, 0, 0], [65, 65, 0], [66, 65, 1], [67, 66, 1], [68, 67, 1], [69, 67, 2], [70, 67, 3], [71, 68, 3], [72, 65, 7], [73, 65, 8], [74, 65, 9], [75, 66, 9], [76, 67, 9], [77, 67, 10], [78, 78, 0], [79, 68, 11], [80, 80, 0], [81, 81, 0], [82, 82, 0], [83, 83, 0], [84, 68, 16], [85, 69, 16], [86, 69, 17], [87, 70, 17], [88, 71, 17], [89, 71, 18], [90, 90, 0], [91, 74, 17], [92, 75, 17], [93, 67, 26], [94, 65, 29], [95, 67, 28], [96, 68, 28], [97, 82, 15], [98, 75, 23], [99, 83, 16], [100, 79, 21], [101, 74, 27], [102, 68, 34], [103, 74, 29], [104, 74, 30], [105, 86, 19], [106, 76, 30], [107, 84, 23], [108, 86, 22], [109, 77, 32], [110, 77, 33], [111, 65, 46], [112, 74, 38], [113, 67, 46], [114, 74, 40], [115, 67, 48], [116, 87, 29], [117, 67, 50], [118, 70, 48], [119, 66, 53], [120, 74, 46], [121, 70, 51], [122, 77, 45], [123, 77, 46], [124, 69, 55], [125, 67, 58], [126, 78, 48], [127, 83, 44]]
